//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 1-20-2024
//--  Time: 15:1
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0.0, 5.0     AFR:7.4, 22.39
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	7.40	74 	0.000
1	7.41	74 	0.005
2	7.43	74 	0.010
3	7.44	74 	0.015
4	7.46	75 	0.020
5	7.47	75 	0.024
6	7.49	75 	0.029
7	7.50	75 	0.034
8	7.52	75 	0.039
9	7.53	75 	0.044
10	7.55	75 	0.049
11	7.56	76 	0.054
12	7.58	76 	0.059
13	7.59	76 	0.063
14	7.60	76 	0.068
15	7.62	76 	0.073
16	7.63	76 	0.078
17	7.65	76 	0.083
18	7.66	77 	0.088
19	7.68	77 	0.093
20	7.69	77 	0.098
21	7.71	77 	0.103
22	7.72	77 	0.107
23	7.74	77 	0.112
24	7.75	78 	0.117
25	7.77	78 	0.122
26	7.78	78 	0.127
27	7.80	78 	0.132
28	7.81	78 	0.137
29	7.82	78 	0.142
30	7.84	78 	0.146
31	7.85	79 	0.151
32	7.87	79 	0.156
33	7.88	79 	0.161
34	7.90	79 	0.166
35	7.91	79 	0.171
36	7.93	79 	0.176
37	7.94	79 	0.181
38	7.96	80 	0.186
39	7.97	80 	0.190
40	7.99	80 	0.195
41	8.00	80 	0.200
42	8.01	80 	0.205
43	8.03	80 	0.210
44	8.04	80 	0.215
45	8.06	81 	0.220
46	8.07	81 	0.225
47	8.09	81 	0.229
48	8.10	81 	0.234
49	8.12	81 	0.239
50	8.13	81 	0.244
51	8.15	81 	0.249
52	8.16	82 	0.254
53	8.18	82 	0.259
54	8.19	82 	0.264
55	8.21	82 	0.269
56	8.22	82 	0.273
57	8.23	82 	0.278
58	8.25	82 	0.283
59	8.26	83 	0.288
60	8.28	83 	0.293
61	8.29	83 	0.298
62	8.31	83 	0.303
63	8.32	83 	0.308
64	8.34	83 	0.313
65	8.35	84 	0.317
66	8.37	84 	0.322
67	8.38	84 	0.327
68	8.40	84 	0.332
69	8.41	84 	0.337
70	8.42	84 	0.342
71	8.44	84 	0.347
72	8.45	85 	0.352
73	8.47	85 	0.356
74	8.48	85 	0.361
75	8.50	85 	0.366
76	8.51	85 	0.371
77	8.53	85 	0.376
78	8.54	85 	0.381
79	8.56	86 	0.386
80	8.57	86 	0.391
81	8.59	86 	0.396
82	8.60	86 	0.400
83	8.62	86 	0.405
84	8.63	86 	0.410
85	8.64	86 	0.415
86	8.66	87 	0.420
87	8.67	87 	0.425
88	8.69	87 	0.430
89	8.70	87 	0.435
90	8.72	87 	0.439
91	8.73	87 	0.444
92	8.75	87 	0.449
93	8.76	88 	0.454
94	8.78	88 	0.459
95	8.79	88 	0.464
96	8.81	88 	0.469
97	8.82	88 	0.474
98	8.83	88 	0.479
99	8.85	88 	0.483
100	8.86	89 	0.488
101	8.88	89 	0.493
102	8.89	89 	0.498
103	8.91	89 	0.503
104	8.92	89 	0.508
105	8.94	89 	0.513
106	8.95	90 	0.518
107	8.97	90 	0.522
108	8.98	90 	0.527
109	9.00	90 	0.532
110	9.01	90 	0.537
111	9.02	90 	0.542
112	9.04	90 	0.547
113	9.05	91 	0.552
114	9.07	91 	0.557
115	9.08	91 	0.562
116	9.10	91 	0.566
117	9.11	91 	0.571
118	9.13	91 	0.576
119	9.14	91 	0.581
120	9.16	92 	0.586
121	9.17	92 	0.591
122	9.19	92 	0.596
123	9.20	92 	0.601
124	9.22	92 	0.605
125	9.23	92 	0.610
126	9.24	92 	0.615
127	9.26	93 	0.620
128	9.27	93 	0.625
129	9.29	93 	0.630
130	9.30	93 	0.635
131	9.32	93 	0.640
132	9.33	93 	0.645
133	9.35	93 	0.649
134	9.36	94 	0.654
135	9.38	94 	0.659
136	9.39	94 	0.664
137	9.41	94 	0.669
138	9.42	94 	0.674
139	9.43	94 	0.679
140	9.45	94 	0.684
141	9.46	95 	0.688
142	9.48	95 	0.693
143	9.49	95 	0.698
144	9.51	95 	0.703
145	9.52	95 	0.708
146	9.54	95 	0.713
147	9.55	96 	0.718
148	9.57	96 	0.723
149	9.58	96 	0.728
150	9.60	96 	0.732
151	9.61	96 	0.737
152	9.63	96 	0.742
153	9.64	96 	0.747
154	9.65	97 	0.752
155	9.67	97 	0.757
156	9.68	97 	0.762
157	9.70	97 	0.767
158	9.71	97 	0.771
159	9.73	97 	0.776
160	9.74	97 	0.781
161	9.76	98 	0.786
162	9.77	98 	0.791
163	9.79	98 	0.796
164	9.80	98 	0.801
165	9.82	98 	0.806
166	9.83	98 	0.811
167	9.84	98 	0.815
168	9.86	99 	0.820
169	9.87	99 	0.825
170	9.89	99 	0.830
171	9.90	99 	0.835
172	9.92	99 	0.840
173	9.93	99 	0.845
174	9.95	99 	0.850
175	9.96	100 	0.854
176	9.98	100 	0.859
177	9.99	100 	0.864
178	10.01	100 	0.869
179	10.02	100 	0.874
180	10.03	100 	0.879
181	10.05	100 	0.884
182	10.06	101 	0.889
183	10.08	101 	0.894
184	10.09	101 	0.898
185	10.11	101 	0.903
186	10.12	101 	0.908
187	10.14	101 	0.913
188	10.15	102 	0.918
189	10.17	102 	0.923
190	10.18	102 	0.928
191	10.20	102 	0.933
192	10.21	102 	0.938
193	10.23	102 	0.942
194	10.24	102 	0.947
195	10.25	103 	0.952
196	10.27	103 	0.957
197	10.28	103 	0.962
198	10.30	103 	0.967
199	10.31	103 	0.972
200	10.33	103 	0.977
201	10.34	103 	0.981
202	10.36	104 	0.986
203	10.37	104 	0.991
204	10.39	104 	0.996
205	10.40	104 	1.001
206	10.42	104 	1.006
207	10.43	104 	1.011
208	10.44	104 	1.016
209	10.46	105 	1.021
210	10.47	105 	1.025
211	10.49	105 	1.030
212	10.50	105 	1.035
213	10.52	105 	1.040
214	10.53	105 	1.045
215	10.55	105 	1.050
216	10.56	106 	1.055
217	10.58	106 	1.060
218	10.59	106 	1.064
219	10.61	106 	1.069
220	10.62	106 	1.074
221	10.64	106 	1.079
222	10.65	106 	1.084
223	10.66	107 	1.089
224	10.68	107 	1.094
