//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 1-24-2024
//--  Time: 18:27
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 100(C), 	Resistance 1: 187 Ohms 
//--    Temperature2: 50(C), 	Resistance 2: 834 Ohms 
//--    Temperature3: 0(C), 	Resistance 3: 5896 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	70.00	700 	0.000
1	70.00	700 	0.005
2	70.00	700 	0.010
3	70.00	700 	0.015
4	70.00	700 	0.020
5	70.00	700 	0.024
6	70.00	700 	0.029
7	70.00	700 	0.034
8	70.00	700 	0.039
9	70.00	700 	0.044
10	70.00	700 	0.049
11	70.00	700 	0.054
12	70.00	700 	0.059
13	70.00	700 	0.063
14	348.98	3490 	0.068
15	342.29	3423 	0.073
16	336.12	3361 	0.078
17	330.40	3304 	0.083
18	325.07	3251 	0.088
19	320.08	3201 	0.093
20	315.40	3154 	0.098
21	311.00	3110 	0.103
22	306.83	3068 	0.107
23	302.89	3029 	0.112
24	299.15	2991 	0.117
25	295.59	2956 	0.122
26	292.19	2922 	0.127
27	288.95	2889 	0.132
28	285.84	2858 	0.137
29	282.86	2829 	0.142
30	280.01	2800 	0.146
31	277.26	2773 	0.151
32	274.61	2746 	0.156
33	272.06	2721 	0.161
34	269.60	2696 	0.166
35	267.23	2672 	0.171
36	264.93	2649 	0.176
37	262.70	2627 	0.181
38	260.55	2605 	0.186
39	258.45	2585 	0.190
40	256.43	2564 	0.195
41	254.45	2545 	0.200
42	252.54	2525 	0.205
43	250.67	2507 	0.210
44	248.86	2489 	0.215
45	247.09	2471 	0.220
46	245.37	2454 	0.225
47	243.69	2437 	0.229
48	242.05	2421 	0.234
49	240.45	2405 	0.239
50	238.89	2389 	0.244
51	237.37	2374 	0.249
52	235.87	2359 	0.254
53	234.41	2344 	0.259
54	232.98	2330 	0.264
55	231.58	2316 	0.269
56	230.21	2302 	0.273
57	228.87	2289 	0.278
58	227.55	2276 	0.283
59	226.26	2263 	0.288
60	225.00	2250 	0.293
61	223.76	2238 	0.298
62	222.54	2225 	0.303
63	221.34	2213 	0.308
64	220.16	2202 	0.313
65	219.01	2190 	0.317
66	217.87	2179 	0.322
67	216.76	2168 	0.327
68	215.66	2157 	0.332
69	214.58	2146 	0.337
70	213.52	2135 	0.342
71	212.48	2125 	0.347
72	211.45	2114 	0.352
73	210.44	2104 	0.356
74	209.44	2094 	0.361
75	208.46	2085 	0.366
76	207.49	2075 	0.371
77	206.53	2065 	0.376
78	205.60	2056 	0.381
79	204.67	2047 	0.386
80	203.76	2038 	0.391
81	202.85	2029 	0.396
82	201.97	2020 	0.400
83	201.09	2011 	0.405
84	200.22	2002 	0.410
85	199.37	1994 	0.415
86	198.53	1985 	0.420
87	197.70	1977 	0.425
88	196.87	1969 	0.430
89	196.06	1961 	0.435
90	195.26	1953 	0.439
91	194.47	1945 	0.444
92	193.69	1937 	0.449
93	192.92	1929 	0.454
94	192.15	1922 	0.459
95	191.40	1914 	0.464
96	190.65	1907 	0.469
97	189.91	1899 	0.474
98	189.18	1892 	0.479
99	188.46	1885 	0.483
100	187.75	1877 	0.488
101	187.04	1870 	0.493
102	186.35	1863 	0.498
103	185.65	1857 	0.503
104	184.97	1850 	0.508
105	184.29	1843 	0.513
106	183.62	1836 	0.518
107	182.96	1830 	0.522
108	182.31	1823 	0.527
109	181.66	1817 	0.532
110	181.01	1810 	0.537
111	180.38	1804 	0.542
112	179.74	1797 	0.547
113	179.12	1791 	0.552
114	178.50	1785 	0.557
115	177.89	1779 	0.562
116	177.28	1773 	0.566
117	176.68	1767 	0.571
118	176.08	1761 	0.576
119	175.49	1755 	0.581
120	174.90	1749 	0.586
121	174.32	1743 	0.591
122	173.75	1737 	0.596
123	173.18	1732 	0.601
124	172.61	1726 	0.605
125	172.05	1721 	0.610
126	171.49	1715 	0.615
127	170.94	1709 	0.620
128	170.40	1704 	0.625
129	169.85	1699 	0.630
130	169.32	1693 	0.635
131	168.78	1688 	0.640
132	168.25	1683 	0.645
133	167.73	1677 	0.649
134	167.21	1672 	0.654
135	166.69	1667 	0.659
136	166.18	1662 	0.664
137	165.67	1657 	0.669
138	165.16	1652 	0.674
139	164.66	1647 	0.679
140	164.16	1642 	0.684
141	163.67	1637 	0.688
142	163.18	1632 	0.693
143	162.69	1627 	0.698
144	162.21	1622 	0.703
145	161.73	1617 	0.708
146	161.25	1612 	0.713
147	160.78	1608 	0.718
148	160.31	1603 	0.723
149	159.84	1598 	0.728
150	159.38	1594 	0.732
151	158.92	1589 	0.737
152	158.46	1585 	0.742
153	158.00	1580 	0.747
154	157.55	1576 	0.752
155	157.10	1571 	0.757
156	156.66	1567 	0.762
157	156.22	1562 	0.767
158	155.78	1558 	0.771
159	155.34	1553 	0.776
160	154.91	1549 	0.781
161	154.48	1545 	0.786
162	154.05	1540 	0.791
163	153.62	1536 	0.796
164	153.20	1532 	0.801
165	152.78	1528 	0.806
166	152.36	1524 	0.811
167	151.94	1519 	0.815
168	151.53	1515 	0.820
